modelTmp, 14.28571492433548, 1625311232.0, 374055, 2024-11-24 15:21:32
T1-randomForest, 83.18571428571428, 0, None, 2024-11-24 15:26:58
T9-LogReg-bat, 73.08571428571429, 0, 5516, 2024-11-24 15:30:34
0, modelTmp, 14.28571492433548, 1625311232.0, 374055, 2024-11-25 13:27:03
1, DLch-cnn123-rep1-0.8eval-10runs-x001, 14.06761109828949, 2857647360.0, 74951, 2024-11-25 13:27:10
1, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-25 18:10:45
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-25 20:15:54
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:29:43
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:31:30
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:32:36
0, T2-LogisticRegression, 22.257142857142856, 0, None, 2024-11-26 07:44:07
0, T2-LogisticRegression, 22.257142857142856, 0, None, 2024-11-26 07:44:27
0, T2-LogisticRegression, 22.257142857142856, 0, None, 2024-11-26 07:44:43
0, T2-LogisticRegression, 22.257142857142856, 0, None, 2024-11-26 07:44:54
0, T2-LogisticRegression, 16.785714285714285, 0, None, 2024-11-26 07:47:17
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:49:05
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:55:35
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:55:46
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:55:57
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:58:24
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:58:48
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 07:58:58
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:01:44
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:17:35
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:17:46
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:17:57
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:18:35
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:19:36
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:19:42
0, T2-LogisticRegression, 85.27857142857142, 0, None, 2024-11-26 08:20:16
1, T1-LogisticRegression, 85.57142857142857, 0, None, 2024-11-26 11:26:55
1, T2-LogisticRegression, 85.5142857142857, 0, None, 2024-11-26 12:03:06
1, T2-SVM, 85.07142857142857, 0, None, 2024-11-26 22:22:48
1, T3-LogisticRegression, 77.99285714285715, 0, 5516, 2024-11-26 22:22:54
1, T2-SVM, 85.07142857142857, 0, None, 2024-11-26 22:23:06
1, T5-SVM, 84.00714285714285, 0, None, 2024-11-26 22:23:19
0, T3-LogisticRegression, 77.99285714285715, 0, 5516, 2024-11-26 22:23:25
1, T7-CART, 14.285714285714285, 0, None, 2024-11-26 22:23:40
1, T1-LogRegRanForEns, 80.32857142857142, 0, None, 2024-11-26 22:23:54
1, T7-LogReg, 27.63571428571428, 0, 5516, 2024-11-26 22:24:04
1, T7-NaiBay, 27.971428571428568, 0, None, 2024-11-26 22:24:10
1, T9-LogReg-bat, 73.08571428571429, 0, 5516, 2024-11-26 22:24:21
1, T5-LogisticRegression, 81.24285714285713, 0, 5516, 2024-11-26 22:24:36
1, T2-All-mixed, 85.14285714285714, 0, None, 2024-11-26 22:26:52
1, T5-LogisticRegression, 81.24285714285713, 0, 5516, 2024-11-26 22:27:08
1, T2-CART, 81.45714285714286, 0, None, 2024-11-26 22:27:18
0, T5-SVM, 84.00714285714285, 0, None, 2024-11-26 22:27:59
1, T1-LogisticRegression, 85.57142857142857, 0, None, 2024-11-26 22:28:14
1, T1-LogRegRanForEns, 80.32857142857142, 0, None, 2024-11-26 22:28:38
1, T1-LogRegRanForEns, 80.32857142857142, 0, None, 2024-11-26 22:29:01
1, T1-LogisticRegression, 85.57142857142857, 0, None, 2024-11-26 22:29:12
1, T7-NaiBay, 27.971428571428568, 0, None, 2024-11-26 22:29:27
1, T5-RandomForest, 85.3, 0, None, 2024-11-26 22:29:40
1, T1-LSTM, 69.47143077850342, 1.4284350872039795, 10757, 2024-11-27 20:36:14
1, T2-DNN, 26.507142186164856, 1100252800.0, 109575, 2024-11-27 20:36:38
1, T1-LSTM, 69.47143077850342, 1.4284350872039795, 10757, 2024-11-27 20:37:01
0, T1-LSTM, 69.47143077850342, 1.4284350872039795, 10757, 2024-11-27 20:40:49
0, T1-LSTM, 69.47143077850342, 1.4284350872039795, 10757, 2024-11-27 20:45:29
0, T1-LSTM, 69.47143077850342, 1.4284350872039795, 10757, 2024-11-27 20:45:54
0, T2-CART, 77.83571428571429, 0, None, 2024-11-27 20:53:31
1, T1-LSTM, 76.2071430683136, 1.2454707622528076, 10757, 2024-11-27 20:55:04
1, T2-RandomForest, 85.15, 0, None, 2025-01-19 11:03:51
1, T4-LogisticRegression, 80.93571428571428, 0, 5516, 2025-01-19 11:05:34
1, cnn2, 15.539804100990295, 3676389376.0, 74951, 2025-01-19 11:16:16
1, T5-KNearestNeighbors, 84.04285714285714, 0, None, 2025-01-19 11:17:28
1, T2-KNearestNeighbors, 83.12142857142857, 0, None, 2025-01-19 20:25:29
1, T2-NaiveBayes, 81.31428571428572, 0, None, 2025-01-19 20:25:35
1, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-19 20:27:45
1, cnn2d4-3_7000, 15.752550959587097, 6706635776.0, 171847, 2025-01-19 22:22:44
1, DLch-cnn123-rep1-0.8eval-10runs-x002, 14.776444435119629, 4271589376.0, 374055, 2025-01-19 22:24:50
1, T5-CART, 81.90714285714286, 0, None, 2025-01-19 22:25:01
1, cnn4-5000, 17.719779908657074, 9773195264.0, 380327, 2025-01-19 22:51:32
0, T1-LogisticRegression, 85.57142857142857, 0, None, 2025-01-19 22:51:43
1, cnn2d4-3_2000, 14.939190447330475, 10568434688.0, 168263, 2025-01-19 23:04:34
1, T2-LogisticRegression, 85.27857142857142, 0, None, 2025-01-19 23:04:45
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-19 23:14:53
0, T3-LogisticRegression, 77.99285714285715, 0, 5516, 2025-01-19 23:15:14
1, cnn2d4-3_7000, 15.752550959587097, 6706635776.0, 171847, 2025-01-20 10:24:27
1, DLch-cnn123-rep1-0.8eval-10runs-x000, 12.92257308959961, 1910029696.0, 269479, 2025-01-20 23:07:28
0, T4-LogisticRegression, 80.93571428571428, 0, 5516, 2025-01-20 23:07:39
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-23 18:29:10
0, cnn2d4-3_2000, 14.939190447330475, 10568434688.0, 168263, 2025-01-23 18:30:31
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-23 19:05:32
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-23 19:08:59
0, cnn2, 15.539804100990295, 3676389376.0, 74951, 2025-01-23 19:12:33
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-01-27 14:23:45
0, T1-LogRegRanForEns, 80.32857142857142, 0, None, 2025-01-27 14:24:00
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-03-27 21:09:05
0, cnn1, 13.84950876235962, 4874966528.0, 269479, 2025-04-16 12:45:28
